batch,arrival,type,demand_cu,share,max_defer,max_latency,data_gb_per_cu,delay_penalty,task_source_type
09_交互型,9,交互型,56.07,0.3,2,60,3.0,0.035,合成业务负载情景
09_批处理,9,批处理,69.53,0.4,6,120,1.5,0.006,合成业务负载情景
10_实时型,10,实时型,55.23,0.3,0,25,5.0,0.25,合成业务负载情景
10_交互型,10,交互型,57.82,0.3,2,60,3.0,0.035,合成业务负载情景
10_批处理,10,批处理,76.07,0.4,6,120,1.5,0.006,合成业务负载情景
11_实时型,11,实时型,54.15,0.3,0,25,5.0,0.25,合成业务负载情景
11_交互型,11,交互型,53.32,0.3,2,60,3.0,0.035,合成业务负载情景
11_批处理,11,批处理,73.08,0.4,6,120,1.5,0.006,合成业务负载情景
12_实时型,12,实时型,49.62,0.3,0,25,5.0,0.25,合成业务负载情景
12_交互型,12,交互型,49.55,0.3,2,60,3.0,0.035,合成业务负载情景
12_批处理,12,批处理,68.54,0.4,6,120,1.5,0.006,合成业务负载情景
13_实时型,13,实时型,50.97,0.3,0,25,5.0,0.25,合成业务负载情景
13_交互型,13,交互型,50.61,0.3,2,60,3.0,0.035,合成业务负载情景
13_批处理,13,批处理,68.17,0.4,6,120,1.5,0.006,合成业务负载情景
14_实时型,14,实时型,48.66,0.3,0,25,5.0,0.25,合成业务负载情景
14_交互型,14,交互型,47.9,0.3,2,60,3.0,0.035,合成业务负载情景
14_批处理,14,批处理,66.31,0.4,6,120,1.5,0.006,合成业务负载情景
15_实时型,15,实时型,48.25,0.3,0,25,5.0,0.25,合成业务负载情景
15_交互型,15,交互型,46.68,0.3,2,60,3.0,0.035,合成业务负载情景
15_批处理,15,批处理,60.06,0.4,6,120,1.5,0.006,合成业务负载情景
16_实时型,16,实时型,46.68,0.3,0,25,5.0,0.25,合成业务负载情景
16_交互型,16,交互型,46.76,0.3,2,60,3.0,0.035,合成业务负载情景
16_批处理,16,批处理,59.5,0.4,6,120,1.5,0.006,合成业务负载情景
17_实时型,17,实时型,50.27,0.3,0,25,5.0,0.25,合成业务负载情景
17_交互型,17,交互型,47.15,0.3,2,60,3.0,0.035,合成业务负载情景
17_批处理,17,批处理,63.21,0.4,6,120,1.5,0.006,合成业务负载情景
18_实时型,18,实时型,53.94,0.3,0,25,5.0,0.25,合成业务负载情景
18_交互型,18,交互型,54.47,0.3,2,60,3.0,0.035,合成业务负载情景
18_批处理,18,批处理,72.34,0.4,6,120,1.5,0.006,合成业务负载情景
19_实时型,19,实时型,61.56,0.3,0,25,5.0,0.25,合成业务负载情景
19_交互型,19,交互型,59.6,0.3,2,60,3.0,0.035,合成业务负载情景
19_批处理,19,批处理,80.57,0.4,6,120,1.5,0.006,合成业务负载情景
20_实时型,20,实时型,58.97,0.3,0,25,5.0,0.25,合成业务负载情景
20_交互型,20,交互型,57.8,0.3,2,60,3.0,0.035,合成业务负载情景
20_批处理,20,批处理,76.32,0.4,6,120,1.5,0.006,合成业务负载情景
21_实时型,21,实时型,57.52,0.3,0,25,5.0,0.25,合成业务负载情景
21_交互型,21,交互型,59.33,0.3,2,60,3.0,0.035,合成业务负载情景
21_批处理,21,批处理,74.78,0.4,6,120,1.5,0.006,合成业务负载情景
22_实时型,22,实时型,53.09,0.3,0,25,5.0,0.25,合成业务负载情景
22_交互型,22,交互型,53.3,0.3,2,60,3.0,0.035,合成业务负载情景
22_批处理,22,批处理,73.45,0.4,6,120,1.5,0.006,合成业务负载情景
23_实时型,23,实时型,51.21,0.3,0,25,5.0,0.25,合成业务负载情景
23_交互型,23,交互型,49.36,0.3,2,60,3.0,0.035,合成业务负载情景
23_批处理,23,批处理,64.92,0.4,6,120,1.5,0.006,合成业务负载情景
